name_j,code_map,name_e,year,url,zip,shp,altdir,qml
通所介護（療養通所介護）,LTCI_155,Medical Day Care,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_155_all_20240701185146.zip,jigyosho_155_all_20240701185146.zip,jigyosho_155_all_20240701185146.csv,,
通所リハビリテーション,LTCI_160,Day Rehabilitation,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_160_all_20240701185152.zip,jigyosho_160_all_20240701185152.zip,jigyosho_160_all_20240701185152.csv,,
福祉用具貸与,LTCI_170,Welfare Equipment Rental,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_170_all_20240701185158.zip,jigyosho_170_all_20240701185158.zip,jigyosho_170_all_20240701185158.csv,,
短期入所生活介護,LTCI_210,Short-Stay Residential Care,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_210_all_20240701185215.zip,jigyosho_210_all_20240701185215.zip,jigyosho_210_all_20240701185215.csv,,
短期入所療養介護（介護老人保健施設）,LTCI_220,Short-Stay Medical Care (Geriatric Health Services Facility),2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_220_all_20240701185220.zip,jigyosho_220_all_20240701185220.zip,jigyosho_220_all_20240701185220.csv,,
短期入所療養介護（療養病床を有する病院等）,LTCI_230,Short-Stay Medical Care (Hospital with Long-Term Care Beds),2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_230_all_20240701185223.zip,jigyosho_230_all_20240701185223.zip,jigyosho_230_all_20240701185223.csv,,
短期入所療養介護（介護医療院）,LTCI_551,Short-Stay Medical Care (Integrated Facility for Medical and Long-Term Care),2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_551_all_20240701185445.zip,jigyosho_551_all_20240701185445.zip,jigyosho_551_all_20240701185445.csv,,
認知症対応型共同生活介護,LTCI_320,Group Home for Persons with Dementia,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_320_all_20240701185233.zip,jigyosho_320_all_20240701185233.zip,jigyosho_320_all_20240701185233.csv,,
特定施設入居者生活介護（有料老人ホーム）,LTCI_331,Residential Care in Fee-Based Nursing Home,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_331_all_20240701185238.zip,jigyosho_331_all_20240701185238.zip,jigyosho_331_all_20240701185238.csv,,
特定施設入居者生活介護（軽費老人ホーム）,LTCI_332,Residential Care in Low-Cost Elderly Home,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_332_all_20240701185241.zip,jigyosho_332_all_20240701185241.zip,jigyosho_332_all_20240701185241.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅）,LTCI_334,Residential Care in Service-Integrated Housing for Older Persons,2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_334_all_20240701185245.zip,jigyosho_334_all_20240701185245.zip,jigyosho_334_all_20240701185245.csv,,
特定施設入居者生活介護（有料老人ホーム・外部サービス利用型）,LTCI_335,Residential Care in Fee-Based Nursing Home (External Service Type),2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_335_all_20240701185248.zip,jigyosho_335_all_20240701185248.zip,jigyosho_335_all_20240701185248.csv,,
特定施設入居者生活介護（軽費老人ホーム・外部サービス利用型）,LTCI_336,Residential Care in Low-Cost Elderly Home (External Service Type),2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_336_all_20240701185250.zip,jigyosho_336_all_20240701185250.zip,jigyosho_336_all_20240701185250.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅・外部サービス利用型）,LTCI_337,Residential Care in Service-Integrated Housing for Older Persons (External Service Type),2024年６月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_337_all_20240701185253.zip,jigyosho_337_all_20240701185253.zip,jigyosho_337_all_20240701185253.csv,,
